location,total_sqft,bath,bhk,price_per_sqft,price
Subramanyapura,1255.0,2.0,3,6294.820717131474,79.0
other,900.0,2.0,2,5000.0,45.0
Yelahanka New Town,1700.0,3.0,3,5294.117647058823,90.0
Indira Nagar,1875.0,3.0,3,9600.0,180.0
Uttarahalli,1700.0,3.0,3,5176.470588235294,88.0
Harlur,1749.0,3.0,3,6575.18582046884,115.0
Dasanapura,1500.0,3.0,2,4333.333333333333,65.0
other,1175.0,2.0,2,4085.1063829787236,48.0
Akshaya Nagar,1280.0,2.0,2,4687.5,60.0
other,1200.0,2.0,2,4166.666666666667,50.0
Ramagondanahalli,1610.0,2.0,3,7142.857142857143,115.0
Electronic City,1070.0,2.0,2,4299.065420560748,46.0
TC Palaya,1200.0,2.0,2,5500.0,66.0
9th Phase JP Nagar,1127.0,2.0,2,4436.557231588287,50.0
Indira Nagar,1210.0,2.0,2,8429.752066115703,102.0
other,600.0,2.0,2,3833.3333333333335,23.0
other,1364.0,2.0,2,5131.964809384164,70.0
other,1150.0,2.0,3,6739.130434782609,77.5
other,1146.0,2.0,2,3446.7713787085513,39.5
Magadi Road,1345.0,2.0,2,4089.2193308550186,55.0
other,1110.0,2.0,2,3693.6936936936936,41.0
Kengeri,750.0,2.0,2,4800.0,36.0
other,1156.0,2.0,2,4282.006920415225,49.5
Pattandur Agrahara,1247.0,2.0,2,4795.50922213312,59.8
other,1058.0,2.0,2,5671.077504725898,60.0
Kaggalipura,950.0,2.0,2,5052.631578947368,48.0
Vijayanagar,1520.0,2.0,3,6776.315789473684,103.0
Marathahalli,1215.0,2.0,2,4844.444444444444,58.86
other,900.0,1.0,1,3333.3333333333335,30.0
Thanisandra,1050.0,2.0,2,4380.952380952381,46.0
other,1672.0,3.0,3,8971.291866028709,150.0
other,1500.0,2.0,3,4333.333333333333,65.0
other,1400.0,2.0,2,4642.857142857143,65.0
Bommasandra,920.0,2.0,2,4071.7391304347825,37.46
Sarjapur  Road,1200.0,3.0,3,5833.333333333333,70.0
other,1250.0,3.0,3,11120.0,139.0
Hosakerehalli,1817.0,4.0,3,8420.473307649972,153.0
HSR Layout,1140.0,2.0,2,4035.0877192982457,46.0
Haralur Road,1464.0,2.0,2,3825.136612021858,56.0
other,1468.0,3.0,2,8855.58583106267,130.0
Electronics City Phase 1,1555.0,2.0,3,5273.311897106109,82.0
Whitefield,1150.0,2.0,2,4782.608695652174,55.0
Kadubeesanahalli,970.0,2.0,2,3608.2474226804125,35.0
other,1166.0,2.0,2,4545.454545454545,53.0
Electronic City,1350.0,3.0,3,4296.2962962962965,58.0
other,900.0,2.0,2,5111.111111111111,46.0
7th Phase JP Nagar,1300.0,2.0,3,4000.0,52.0
other,1190.0,3.0,3,4621.848739495798,55.0
Kodichikkanahalli,1495.0,2.0,3,5016.722408026756,75.0
Indira Nagar,1224.0,2.0,2,8578.43137254902,105.0
Banashankari Stage III,1350.0,2.0,3,5037.037037037037,68.0
Green Glen Layout,940.0,2.0,2,6042.553191489362,56.8
Raja Rajeshwari Nagar,1100.0,2.0,2,5000.0,55.0
Kaikondrahalli,1300.0,2.0,2,4692.307692307692,61.0
other,1480.0,2.0,3,9797.297297297297,145.0
Hoodi,1105.0,2.0,2,4196.380090497738,46.37
Yelahanka,1517.0,3.0,3,5029.663810151615,76.3
Jalahalli,1615.0,3.0,3,5557.275541795666,89.75
other,1500.0,3.0,3,4333.333333333333,65.0
Mysore Road,1082.0,3.0,3,4667.28280961183,50.5
Marathahalli,1365.0,2.0,2,5347.985347985348,73.0
Electronic City,1000.0,2.0,2,2500.0,25.0
CV Raman Nagar,1392.0,2.0,2,7040.229885057472,98.0
Kodigehalli,1086.0,2.0,2,3099.4475138121543,33.66
Hennur Road,1586.0,3.0,3,5923.076923076923,93.94
Hennur,1100.0,2.0,2,5454.545454545455,60.0
Electronic City Phase II,1065.0,2.0,2,2887.323943661972,30.75
TC Palaya,1500.0,2.0,3,8000.0,120.0
7th Phase JP Nagar,1575.0,2.0,3,7619.047619047619,120.0
Hennur Road,1975.0,3.0,3,6227.848101265823,123.0
other,820.0,2.0,2,2926.829268292683,24.0
Gubbalala,1745.0,3.0,3,6303.7249283667625,110.0
Nagarbhavi,1223.0,2.0,2,4905.968928863451,60.0
Ananth Nagar,1200.0,2.0,3,5416.666666666667,65.0
Basaveshwara Nagar,1200.0,2.0,2,7500.0,90.0
Binny Pete,665.0,1.0,1,6929.3233082706765,46.08
Bharathi Nagar,1351.0,2.0,2,5181.347150259067,70.0
Hebbal,1355.0,3.0,3,6189.667896678967,83.87
Thanisandra,1588.0,3.0,3,4757.556675062972,75.55
Amruthahalli,900.0,2.0,2,6666.666666666667,60.0
Panathur,1370.0,2.0,3,5474.4525547445255,75.0
Whitefield,1500.0,3.0,3,4786.666666666667,71.8
Kanakpura Road,1100.0,3.0,3,4818.181818181818,53.0
Hoodi,1247.0,2.0,2,4250.200481154771,53.0
Balagere,1020.07,2.0,2,6703.461527150097,68.38
other,1033.0,2.0,3,3097.773475314618,32.0
other,1460.0,2.0,3,5000.0,73.0
Garudachar Palya,1150.0,2.0,2,4591.304347826087,52.8
Babusapalaya,1141.0,2.0,2,4031.5512708150745,46.0
Hosa Road,1665.0,2.0,3,7507.507507507507,125.0
Kanakapura,1295.0,2.0,2,4942.084942084942,64.0
Haralur Road,1230.0,2.0,2,6341.463414634146,78.0
other,1080.0,2.0,3,6944.444444444444,75.0
Kaggalipura,1000.0,2.0,2,6000.0,60.0
Whitefield,630.5,1.0,1,5200.634417129262,32.79
Rayasandra,1708.0,3.0,3,4391.100702576113,75.0
Thanisandra,1697.0,3.0,3,6776.664702416028,115.0
Hosa Road,615.0,1.0,1,4600.0,28.29
Banashankari,1350.0,2.0,3,6148.148148148148,83.0
Jalahalli,1083.0,2.0,2,3000.0,32.49
Gottigere,1460.0,2.0,3,4452.054794520548,65.0
Babusapalaya,1084.0,2.0,2,5350.553505535056,58.0
Bommasandra,1035.0,2.0,2,4002.8985507246375,41.43
Hosur Road,460.0,1.0,1,4565.217391304348,21.0
Whitefield,1285.0,2.0,2,4350.194552529183,55.9
Sarjapur,1200.0,3.0,3,6500.0,78.0
other,1070.0,2.0,2,3271.0280373831774,35.0
Hegde Nagar,1801.0,3.0,3,7773.459189339256,140.0
Whitefield,1697.0,3.0,3,6776.664702416028,115.0
AECS Layout,1199.0,2.0,2,5421.184320266889,65.0
Mysore Road,1340.0,2.0,3,4799.253731343284,64.31
other,1125.0,2.0,2,6666.666666666667,75.0
Anandapura,1200.0,2.0,2,5583.333333333333,67.0
Subramanyapura,1050.0,2.0,2,3904.7619047619046,41.0
Nagarbhavi,956.0,2.0,2,5125.523012552301,49.0
Sarjapur,1000.0,2.0,2,3000.0,30.0
other,1596.0,3.0,3,5952.380952380952,95.0
Kanakpura Road,1296.0,2.0,2,6871.913580246914,89.06
other,1639.0,3.0,3,7504.5759609518,123.0
Electronic City Phase II,1219.0,2.0,2,5024.610336341263,61.25
Uttarahalli,1200.0,3.0,3,4166.666666666667,50.0
Bannerghatta Road,1218.0,2.0,2,5993.431855500821,73.0
other,920.0,2.0,2,4021.7391304347825,37.0
2nd Phase Judicial Layout,525.0,1.0,1,4952.380952380952,26.0
Bannerghatta Road,1427.0,2.0,3,3399.4393833216536,48.51
Kothannur,1270.0,3.0,3,3543.3070866141734,45.0
Ramagondanahalli,920.0,2.0,2,7065.217391304348,65.0
Ramamurthy Nagar,1355.0,2.0,3,2952.029520295203,40.0
Lingadheeranahalli,1530.0,2.0,3,5882.35294117647,90.0
other,1372.0,2.0,3,6559.766763848396,90.0
Jakkur,1950.0,3.0,3,6717.948717948718,131.0
other,885.0,2.0,2,4519.774011299435,40.0
Yelahanka,600.0,2.0,2,4500.0,27.0
Kanakpura Road,1339.0,2.0,2,4630.321135175504,62.0
Whitefield,1130.0,2.0,2,3185.8407079646017,36.0
Uttarahalli,1085.0,2.0,2,3963.1336405529955,43.0
Yeshwanthpur,1430.0,3.0,3,5034.965034965035,72.0
Bhoganhalli,1451.5,4.0,4,8336.203926972097,121.0
other,1490.0,2.0,3,4000.0,59.6
other,1650.0,4.0,4,6000.0,99.0
Bellandur,1286.0,2.0,2,4432.348367029549,57.0
other,925.0,2.0,2,6810.810810810811,63.0
Haralur Road,1000.0,2.0,2,4400.0,44.0
Whitefield,1215.0,2.0,2,3209.8765432098767,39.0
other,1200.0,3.0,4,7916.666666666667,95.0
Lakshminarayana Pura,1336.0,2.0,2,7485.029940119761,100.0
Yeshwanthpur,673.0,1.0,1,5475.482912332838,36.85
Anandapura,1200.0,2.0,2,4833.333333333333,58.0
Malleshwaram,1600.0,3.0,3,10000.0,160.0
other,1200.0,2.0,2,6583.333333333333,79.0
Sector 2 HSR Layout,1143.0,2.0,2,5686.789151356081,65.0
Kanakpura Road,1470.0,2.0,2,4200.0,61.74
other,1584.0,3.0,4,9154.040404040405,145.0
Marathahalli,1785.0,3.0,3,5266.106442577031,94.0
Kothanur,1460.0,3.0,3,4863.013698630137,71.0
Kasturi Nagar,1500.0,2.0,3,5333.333333333333,80.0
Chikkalasandra,1230.0,2.0,2,3902.439024390244,48.0
Yelahanka New Town,650.0,1.0,1,3076.923076923077,20.0
Benson Town,1480.0,2.0,2,8108.108108108108,120.0
Thanisandra,1220.0,2.0,2,3600.0,43.92
other,1570.0,3.0,3,7324.84076433121,115.0
Mallasandra,1665.0,3.0,3,5219.81981981982,86.91
Ramamurthy Nagar,1100.0,2.0,2,6181.818181818182,68.0
Kathriguppe,1350.0,2.0,3,6445.185185185185,87.01
Kasavanhalli,1719.0,3.0,3,6748.109365910413,116.0
Budigere,664.0,1.0,1,5271.084337349397,35.0
Sonnenahalli,1011.0,2.0,2,4998.021760633037,50.53
other,1680.0,3.0,3,5059.523809523809,85.0
Yeshwanthpur,717.0,2.0,2,6900.278940027894,49.475
Whitefield,1520.0,2.0,3,9868.421052631578,150.0
Uttarahalli,1350.0,2.0,3,3925.925925925926,53.0
Kothanur,1760.0,3.0,3,8522.727272727272,150.0
Pattandur Agrahara,875.0,2.0,2,3771.4285714285716,33.0
Hennur,1231.0,2.0,2,3899.268887083672,48.0
Somasundara Palya,1174.0,2.0,2,6303.236797274276,74.0
Munnekollal,1560.0,3.0,3,4807.692307692308,75.0
other,1464.0,2.0,2,3825.136612021858,56.0
Kanakpura Road,2200.0,3.0,3,5909.090909090909,130.0
Shivaji Nagar,850.0,2.0,2,6470.588235294118,55.0
other,1750.0,3.0,3,10285.714285714286,180.0
1st Phase JP Nagar,2024.0,3.0,3,7756.916996047431,157.0
other,1500.0,1.0,2,10666.666666666666,160.0
Devanahalli,1080.0,2.0,2,4074.074074074074,44.0
Electronic City,1020.0,2.0,2,2888.235294117647,29.46
Begur Road,1500.0,2.0,3,3666.6666666666665,55.0
Uttarahalli,1175.0,2.0,2,4000.0,47.0
Channasandra,1030.0,2.0,2,3349.5145631067962,34.5
Hebbal,1440.0,2.0,2,7986.111111111111,115.0
Hoodi,1500.0,2.0,2,5600.0,84.0
Thanisandra,1380.0,1.0,1,4500.0,62.1
other,1200.0,2.0,2,4166.666666666667,50.0
other,705.0,1.0,1,5177.304964539007,36.5
Hegde Nagar,1584.01,3.0,3,6502.484201488627,103.0
other,1340.0,3.0,3,5746.268656716418,77.0
other,1800.0,3.0,3,3888.8888888888887,70.0
R.T. Nagar,1200.0,2.0,2,3750.0,45.0
Sarjapur  Road,685.0,1.0,1,5839.41605839416,40.0
other,925.0,2.0,2,4540.540540540541,42.0
other,1230.0,2.0,2,4634.1463414634145,57.0
Kodichikkanahalli,1125.0,2.0,2,4622.222222222223,52.0
Hebbal,1100.0,2.0,2,4909.090909090909,54.0
Electronic City Phase II,1400.0,2.0,3,2970.0,41.58
Jakkur,1858.0,3.0,3,5290.635091496232,98.3
other,1260.0,1.0,1,3253.968253968254,41.0
HSR Layout,1185.0,2.0,2,5063.291139240507,60.0
Hennur,1255.0,2.0,2,4621.5139442231075,58.0
Kudlu Gate,1335.0,3.0,3,6666.666666666667,89.0
Dodda Nekkundi,1999.0,3.0,3,6603.301650825412,132.0
other,1200.0,2.0,2,10416.666666666666,125.0
Kundalahalli,1397.0,3.0,3,7874.0157480314965,110.0
Yelahanka New Town,1200.0,2.0,2,10833.333333333334,130.0
Chikka Tirupathi,1616.0,3.0,3,5878.712871287129,95.0
other,1270.0,2.0,4,13779.527559055117,175.0
Raja Rajeshwari Nagar,1140.0,2.0,2,3381.578947368421,38.55
Kanakpura Road,525.0,1.0,1,5714.285714285715,30.0
Varthur,1200.0,2.0,3,8166.666666666667,98.0
Balagere,1205.47,2.0,2,6719.370867794304,81.0
other,1200.0,3.0,3,10833.333333333334,130.0
Electronic City,1700.0,3.0,3,4411.764705882353,75.0
Kanakpura Road,1090.0,2.0,2,5003.6697247706425,54.54
Thanisandra,923.0,1.0,1,6591.549295774648,60.84
Green Glen Layout,1050.0,2.0,2,4571.428571428572,48.0
Whitefield,1495.0,2.0,2,5317.725752508361,79.5
Narayanapura,1485.0,3.0,3,5723.905723905724,85.0
Dommasandra,1033.0,2.0,3,3049.3707647628266,31.5
Electronic City,1400.0,2.0,3,3428.5714285714284,48.0
Indira Nagar,500.0,1.0,1,14000.0,70.0
Sarjapur  Road,944.0,2.0,2,3707.6271186440677,35.0
Whitefield,1216.0,2.0,2,5467.105263157895,66.48
other,1100.0,2.0,2,3590.909090909091,39.5
Thanisandra,1743.0,3.0,3,5349.971313826735,93.25
Yelahanka,1274.0,2.0,2,3800.6279434850862,48.42
Mysore Road,1512.0,2.0,3,7275.132275132275,110.0
Cox Town,1650.0,3.0,3,6060.606060606061,100.0
Doddathoguru,1875.0,3.0,3,2933.3333333333335,55.0
Whitefield,1350.0,3.0,3,4000.0,54.0
other,1219.0,2.0,2,3281.3781788351107,40.0
other,1200.0,4.0,4,12500.0,150.0
Hormavu,1141.0,2.0,2,3891.3234005258546,44.4
Anandapura,1151.0,2.0,2,3744.5699391833186,43.1
Sarjapur  Road,915.0,2.0,2,4153.005464480874,38.0
Bannerghatta Road,1115.0,2.0,2,5840.358744394619,65.12
Thigalarapalya,2072.0,4.0,3,6708.494208494209,139.0
Kaggadasapura,1200.0,2.0,2,4416.666666666667,53.0
Singasandra,1300.0,2.0,2,5000.0,65.0
Bellandur,1457.0,2.0,2,5833.905284831846,85.0
Kannamangala,1262.0,2.0,2,4358.161648177496,55.0
Ananth Nagar,900.0,2.0,2,2500.0,22.5
Attibele,420.0,1.0,1,4047.6190476190477,17.0
Kanakapura,1160.0,2.0,2,3999.137931034483,46.39
Kasavanhalli,1115.0,2.0,2,4484.304932735426,50.0
JP Nagar,1315.0,2.0,3,6494.296577946768,85.4
Babusapalaya,1500.0,2.0,2,3800.0,57.0
HSR Layout,1127.0,2.0,2,6033.717834960071,68.0
Kundalahalli,1397.0,3.0,3,7444.523979957051,104.0
Whitefield,1173.0,2.0,2,5115.089514066496,60.0
Sompura,1090.0,2.0,2,2568.8073394495414,28.0
Jakkur,1230.0,2.0,2,6178.861788617886,76.0
Sarjapur  Road,858.0,2.0,2,3679.4871794871797,31.57
Talaghattapura,1868.0,3.0,3,6477.516059957174,121.0
Uttarahalli,1689.28,3.0,3,5398.74976321273,91.2
Banashankari,1425.0,3.0,3,3500.3508771929824,49.88
Tindlu,1350.0,2.0,2,7407.407407407408,100.0
Uttarahalli,1310.0,2.0,3,6488.5496183206105,85.0
other,970.0,2.0,2,4123.711340206186,40.0
Kundalahalli,1397.0,3.0,3,7730.851825340014,108.0
Sarjapur,1157.0,2.0,2,3457.216940363008,40.0
Kasavanhalli,1125.0,2.0,2,5440.0,61.2
Sonnenahalli,1157.0,2.0,2,3630.077787381158,42.0
Sarjapur  Road,1241.0,2.0,2,6607.57453666398,82.0
Binny Pete,660.0,1.0,1,9393.939393939394,62.0
other,596.0,1.0,1,7046.979865771812,42.0
other,1200.0,4.0,4,9166.666666666666,110.0
Brookefield,1139.0,2.0,2,7023.705004389815,80.0
Sarjapura - Attibele Road,1033.0,2.0,2,2750.242013552759,28.41
Yeshwanthpur,1168.0,2.0,2,5486.301369863014,64.08
Chandapura,877.0,2.0,2,4789.053591790193,42.0
Electronics City Phase 1,1340.0,2.0,2,5597.014925373134,75.0
other,1405.0,2.0,3,4982.20640569395,70.0
other,1800.0,3.0,3,3611.1111111111113,65.0
other,1750.0,3.0,3,8514.285714285714,149.0
other,1360.0,2.0,3,4779.411764705882,65.0
other,985.0,2.0,2,6395.9390862944165,63.0
other,1300.0,2.0,2,9923.076923076924,129.0
7th Phase JP Nagar,1850.0,3.0,3,8108.108108108108,150.0
other,1490.0,2.0,3,5906.040268456376,88.0
other,620.0,1.0,2,4032.2580645161293,25.0
Hormavu,1130.0,2.0,2,3743.362831858407,42.3
Yelachenahalli,1080.0,2.0,2,5092.592592592592,55.0
Begur Road,1410.0,2.0,3,3700.0,52.17
Bommanahalli,1375.0,3.0,3,4290.909090909091,59.0
Hennur Road,1290.0,2.0,3,7325.581395348837,94.5
Hosa Road,1318.0,2.0,3,6470.40971168437,85.28
Electronic City,1128.0,2.0,2,6028.368794326241,68.0
Kanakpura Road,1051.0,2.0,2,5398.667935299714,56.74
Yelahanka,1327.0,2.0,2,6405.42577241899,85.0
other,1301.0,2.0,2,4227.517294388932,55.0
other,650.0,1.0,1,4615.384615384615,30.0
Varthur,1200.0,3.0,3,5645.833333333333,67.75
other,1500.0,2.0,3,5999.333333333333,89.99
other,1350.0,4.0,4,10740.74074074074,145.0
Electronic City Phase II,1000.0,2.0,2,2888.0,28.88
Sarjapur  Road,984.0,2.0,2,4665.650406504065,45.91
Jakkur,1819.18,3.0,3,8795.17145087347,160.0
Nagarbhavi,900.0,1.0,1,19444.444444444445,175.0
Hebbal,1355.0,3.0,3,6189.667896678967,83.87
Kaggadasapura,1118.0,2.0,2,2683.3631484794278,30.0
other,910.0,1.0,1,4615.384615384615,42.0
other,1250.0,3.0,3,3120.0,39.0
Hosakerehalli,1304.0,2.0,2,7668.711656441717,100.0
Begur Road,1615.0,3.0,3,3591.331269349845,58.0
Sarjapur  Road,1400.0,2.0,2,4857.142857142857,68.0
CV Raman Nagar,1070.0,2.0,2,4439.252336448598,47.5
Hoodi,1132.0,2.0,2,7894.876325088339,89.37
other,2000.0,3.0,3,4250.0,85.0
Sector 2 HSR Layout,794.0,1.0,1,8186.39798488665,65.0
Raja Rajeshwari Nagar,1090.0,2.0,2,3999.0825688073396,43.59
Gottigere,1500.0,3.0,3,4666.666666666667,70.0
Kanakpura Road,525.0,1.0,1,5714.285714285715,30.0
Bhoganhalli,1447.0,2.0,2,5250.172771250864,75.97
Whitefield,1269.0,2.0,2,5910.16548463357,75.0
Kanakpura Road,1070.0,2.0,2,3500.0000000000005,37.45
Talaghattapura,1150.0,2.0,2,2434.782608695652,28.0
Marathahalli,1208.0,2.0,2,5794.701986754967,70.0
Ramamurthy Nagar,1185.0,2.0,2,3839.662447257384,45.5
Laggere,1200.0,3.0,3,10833.333333333334,130.0
Anekal,888.0,2.0,2,3828.828828828829,34.0
Chandapura,1015.0,2.0,2,2549.753694581281,25.88
other,532.0,1.0,1,4227.443609022556,22.49
other,1060.0,3.0,3,5849.056603773585,62.0
Electronic City,700.0,1.0,1,5000.0,35.0
other,902.0,2.0,2,4656.319290465632,42.0
Uttarahalli,1175.0,2.0,2,4000.0,47.0
Binny Pete,1365.0,2.0,2,8937.728937728938,122.0
Doddathoguru,984.0,2.0,2,5182.926829268293,51.0
Jalahalli East,1475.0,3.0,3,6508.474576271186,96.0
Haralur Road,1300.0,2.0,2,6076.923076923077,79.0
Babusapalaya,1453.0,2.0,3,3000.0,43.59
other,1550.0,2.0,2,10322.58064516129,160.0
Akshaya Nagar,1666.0,3.0,3,5702.280912364946,95.0
Akshaya Nagar,1410.0,4.0,4,11347.517730496455,160.0
Murugeshpalya,1845.0,3.0,3,4932.249322493225,91.0
Sarjapura - Attibele Road,1676.0,3.0,3,3102.6252983293557,52.0
Uttarahalli,1137.0,2.0,2,5540.8970976253295,63.0
Electronic City,1360.0,2.0,3,5183.823529411765,70.5
other,1374.0,2.0,3,5094.614264919942,70.0
Judicial Layout,1700.0,3.0,3,9117.64705882353,155.0
other,2145.0,4.0,4,5827.505827505827,125.0
Kasavanhalli,2170.0,3.0,3,6958.52534562212,151.0
other,1080.0,2.0,2,5092.592592592592,55.0
Electronic City Phase II,1790.0,3.0,3,5586.592178770949,100.0
Doddathoguru,550.0,1.0,1,3090.909090909091,17.0
Poorna Pragna Layout,1270.0,2.0,3,3999.212598425197,50.79
Somasundara Palya,1033.0,2.0,2,4646.660212971927,48.0
other,1000.0,2.0,2,8000.0,80.0
other,1240.0,2.0,2,4241.935483870968,52.6
Kambipura,883.0,2.0,2,4416.761041902605,39.0
other,1500.0,2.0,3,6466.666666666667,97.0
Marathahalli,1730.0,3.0,3,8034.682080924856,139.0
Kasavanhalli,1915.0,3.0,3,4177.545691906005,80.0
Whitefield,1545.0,3.0,3,5113.26860841424,79.0
other,1865.0,4.0,3,7506.702412868633,140.0
Hebbal Kempapura,1150.0,2.0,2,3478.2608695652175,40.0
other,1200.0,2.0,2,4083.3333333333335,49.0
Kengeri,963.0,2.0,2,4153.686396677051,40.0
Marsur,1200.0,3.0,3,10000.0,120.0
Kaikondrahalli,1700.0,4.0,4,6352.941176470588,108.0
Lingadheeranahalli,1682.0,3.0,3,7134.36385255648,120.0
Yelahanka,1371.0,2.0,3,4741.064916119621,65.0
Hennur Road,901.0,2.0,2,5493.895671476138,49.5
Ambalipura,1730.0,3.0,3,6936.416184971098,120.0
Konanakunte,1200.0,4.0,4,10416.666666666666,125.0
EPIP Zone,1500.0,3.0,3,6800.0,102.0
other,1203.0,2.0,2,4975.893599334996,59.86
Horamavu Banaswadi,1357.0,2.0,2,3979.3662490788506,54.0
other,1600.0,3.0,3,4750.0,76.0
Varthur,1665.0,3.0,3,3183.1831831831832,53.0
Sarjapur  Road,835.0,1.0,1,5622.754491017964,46.95
other,815.0,3.0,2,19631.9018404908,160.0
Haralur Road,1444.0,2.0,3,5540.16620498615,80.0
Kanakapura,1277.0,2.0,2,4306.969459671104,55.0
Lingadheeranahalli,1521.0,3.0,3,6226.824457593689,94.71
other,1134.0,2.0,2,3527.336860670194,40.0
Vasanthapura,995.0,2.0,2,3499.497487437186,34.82
Marathahalli,1325.0,1.0,2,6943.396226415094,92.0
Marathahalli,1525.0,3.0,3,5901.639344262295,90.0
other,1320.0,2.0,3,5530.30303030303,73.0
Electronics City Phase 1,650.0,1.0,1,3538.4615384615386,23.0
Old Airport Road,1858.0,2.0,3,8988.15931108719,167.0
Electronic City,1150.0,2.0,2,3304.3478260869565,38.0
Electronic City Phase II,769.0,2.0,2,5201.560468140442,40.0
Electronic City,1571.0,3.0,3,6683.64099299809,105.0
Hennur Road,1445.0,3.0,3,5990.311418685121,86.56
Hosur Road,1590.0,2.0,3,8490.566037735849,135.0
Bommasandra,902.0,2.0,2,5432.372505543237,49.0
Sarjapur,2238.0,3.0,3,6255.585344057194,140.0
Electronic City,1090.0,2.0,2,2888.9908256880735,31.49
Yelahanka,1712.0,3.0,3,4789.719626168225,82.0
Haralur Road,1088.0,2.0,2,6250.0,68.0
Somasundara Palya,1575.0,3.0,3,4006.3492063492063,63.1
Kundalahalli,1920.0,3.0,3,7812.5,150.0
Margondanahalli,1000.0,2.0,2,5700.0,57.0
other,1100.0,2.0,2,5100.0,56.1
Electronic City,1089.0,2.0,2,4132.231404958678,45.0
Horamavu Agara,1106.0,2.0,2,3896.021699819168,43.09
Kengeri,927.0,2.0,2,3991.3700107874865,37.0
Kanakpura Road,1339.0,2.0,2,4331.59073935773,58.0
Thanisandra,923.0,1.0,1,4950.162513542795,45.69
Lakshminarayana Pura,1175.0,2.0,2,6382.978723404255,75.0
Thubarahalli,975.0,2.0,2,5641.025641025641,55.0
Subramanyapura,1330.0,3.0,3,5413.533834586467,72.0
Thanisandra,1183.0,2.0,2,5049.873203719358,59.74
Harlur,1758.0,3.0,3,7565.415244596132,133.0
Hebbal,1255.0,2.0,3,6189.641434262949,77.68
Pai Layout,1100.0,2.0,2,4545.454545454545,50.0
Ramamurthy Nagar,1170.0,2.0,2,4000.0,46.8
Raja Rajeshwari Nagar,1530.0,3.0,3,3383.6601307189544,51.77
Hebbal,1420.0,2.0,2,7535.211267605634,107.0
Kanakpura Road,1591.0,3.0,3,7228.158390949088,115.0
7th Phase JP Nagar,1680.0,3.0,3,7142.857142857143,120.0
other,675.0,3.0,2,7703.7037037037035,52.0
Hoodi,1055.0,2.0,2,5462.559241706161,57.63
Iblur Village,1918.0,3.0,3,6725.7559958289885,129.0
Sarjapur  Road,1280.0,2.0,2,5937.5,76.0
Nagarbhavi,1560.0,3.0,3,4230.7692307692305,66.0
Sarjapur  Road,1145.0,2.0,2,4323.144104803493,49.5
Talaghattapura,2106.0,3.0,3,5982.9059829059825,126.0
other,1801.0,3.0,3,7717.9344808439755,139.0
Whitefield,1306.0,3.0,3,4184.532924961715,54.65
Hebbal,1320.0,2.0,2,6969.69696969697,92.0
other,1350.0,2.0,3,4814.814814814815,65.0
Bannerghatta Road,1344.0,2.0,3,3125.0,42.0
Bannerghatta Road,1893.0,3.0,3,5282.620179609086,100.0
Chandapura,1107.0,2.0,3,3884.3721770551037,43.0
Lakshminarayana Pura,1190.0,2.0,2,6302.5210084033615,75.0
Whitefield,1000.0,2.0,2,3500.0,35.0
Kumaraswami Layout,1000.0,2.0,2,4850.0,48.5
Jalahalli,2113.0,3.0,3,7335.541883577851,155.0
KR Puram,1100.0,2.0,2,4181.818181818182,46.0
Harlur,1884.0,4.0,4,6369.426751592357,120.0
Electronic City,1110.0,2.0,2,3603.6036036036035,40.0
Kudlu,1027.0,2.0,2,4186.952288218111,43.0
other,1250.0,3.0,3,3200.0,40.0
Sarjapur  Road,1470.0,3.0,3,4217.687074829932,62.0
other,1150.0,2.0,2,6521.739130434783,75.0
other,1200.0,3.0,3,13750.0,165.0
Kudlu Gate,703.0,1.0,1,7396.870554765292,52.0
other,1400.0,2.0,3,4428.571428571428,62.0
Bellandur,1195.0,2.0,2,4267.782426778243,51.0
Narayanapura,1302.0,2.0,2,5307.219662058371,69.1
Begur Road,1583.0,3.0,3,4699.936828806065,74.4
other,1488.0,2.0,3,4032.2580645161293,60.0
Kammasandra,1385.0,2.0,3,2500.361010830325,34.63
Electronic City,1600.0,3.0,3,6500.0,104.0
Old Airport Road,1150.0,2.0,2,7826.086956521739,90.0
Sarjapur  Road,1263.0,2.0,2,6175.771971496437,78.0
Kanakpura Road,1299.0,2.0,2,6543.4949961508855,85.0
Banashankari,1330.0,2.0,2,5864.661654135339,78.0
Devanahalli,1282.0,2.0,3,4089.703588143526,52.43
other,1853.0,3.0,3,4425.256341068538,82.0
other,861.0,2.0,2,4065.040650406504,35.0
Bannerghatta Road,1600.0,3.0,3,5937.5,95.0
other,1256.0,2.0,2,5000.0,62.8
other,1390.0,2.0,3,5755.395683453237,80.0
other,1550.0,2.0,3,5806.451612903225,90.0
Hebbal,919.0,2.0,2,5331.882480957563,49.0
Margondanahalli,1625.0,3.0,3,4923.076923076923,80.0
Gunjur,1195.0,2.0,2,3682.0083682008367,44.0
Yelenahalli,1159.0,2.0,2,5176.8766177739435,60.0
Whitefield,1386.0,3.0,3,4145.743145743146,57.46
Harlur,1197.0,2.0,2,6599.832915622389,79.0
Bommasandra,1295.0,2.0,3,3882.6254826254826,50.28
other,1310.0,2.0,3,2887.7862595419847,37.83
Whitefield,1132.0,2.0,2,7003.533568904593,79.28
Hebbal,1645.0,3.0,3,8206.686930091186,135.0
Whitefield,1200.0,2.0,2,3820.0,45.84
Marathahalli,1937.0,3.0,3,7227.671657201859,140.0
